id,kategorie,subkategorie,frage,tipp1,tipp2,loesung,status
91,A) Welt & Natur,Weltraum & Astronomie,Wie lange benötigt Licht für die Strecke von der Sonne zur Erde?,Licht vom Mond zur Erde braucht gut eine Sekunde; die Sonne ist viel weiter weg,Licht von der Sonne bis Jupiter braucht etwa dreiviertel Stunde; bis zur Erde weniger,499,todo
92,A) Welt & Natur,Weltraum & Astronomie,Wie oft passt das Volumen der Erde in das Volumen der Sonne?,Der Durchmesser der Sonne ist ungefähr hundertmal größer als der der Erde,Die Sonne hat etwa 333000 mal so viel Masse; ihre Dichte ist deutlich geringer,1.300.000,todo
93,A) Welt & Natur,Weltraum & Astronomie,Wie alt ist das Universum laut Planck-Weltraumteleskop-Daten?,Die Erde ist etwa 4.5 Milliarden Jahre alt; das Universum deutlich älter,Planck misst Licht aus einer Zeit nur 380000 Jahre nach dem Urknall,13.8,todo
94,A) Welt & Natur,Weltraum & Astronomie,Wie viele Menschen haben bisher die Mondoberfläche betreten?,Alle Mondspaziergänge fanden nur in den Apollojahren 1969 bis 1972 statt,Über 600 Menschen waren im All; fast 300 auf der ISS; weniger auf dem Mond,12,todo
95,A) Welt & Natur,Weltraum & Astronomie,Wie hoch waren die Kosten eines NASA-Raumanzugs der Apollo-Missionen in heutiger Waehrung?,Ein moderner NASA Weltraumspaziergangsanzug der Shuttle Ära kostet grob 12 Mio Dollar,NASA zahlt für einen Platz zur ISS mit SpaceX Crew Dragon rund 60 Mio Dollar,150000000,todo
96,A) Welt & Natur,Weltraum & Astronomie,Wie viel würde eine 100kg schwere Person auf der Mondoberfläche wiegen?,Die Schwerkraft auf dem Mond ist deutlich niedriger als auf dem Mars; Astronauten hüpfen förmlich,Auf dem Mars würde dieselbe 100kg Person etwa 38kg wiegen; auf dem Mond klar weniger,16.,todo
97,A) Welt & Natur,Weltraum & Astronomie,Wie viele Sterne enthält die Milchstraße laut ESA-Schätzung (Gaia Mission)?,Gaia vermisst über 1 Milliarde Sterne unserer Galaxie; das ist nur ein Bruchteil,Nachbarin Andromeda enthält etwa 1 Billion Sterne – unsere Milchstraße hat deutlich weniger,100,todo
98,A) Welt & Natur,Weltraum & Astronomie,Wie lange dauert eine Umdrehung des Merkur um die eigene Achse?,Merkur braucht für einen Umlauf um die Sonne 88 Erdentage,Ein Sonnentag auf dem Merkur von Mittag zu Mittag dauert 176 Erdentage,58.,todo
99,A) Welt & Natur,Weltraum & Astronomie,Wie weit ist der Mond im Durchschnitt von der Erde entfernt in Lichtsekunden?,Licht von der Sonne zur Erde braucht gut acht Minuten - viel weiter als Mond,Funksignale zu Mars-Sonden brauchen je nach Stellung grob drei bis zwanzig Lichtminuten,1.28,todo
100,A) Welt & Natur,Weltraum & Astronomie,Wie viele aktive Satelliten befanden sich laut UCS Database im Januar 2024 im Orbit?,Beim Start der UCS-Datenbank 2005 waren nur 810 Satelliten als aktiv verzeichnet.,Im Juni 2022 listete die UCS-Datenbank bereits über 5465 aktive Satelliten weltweit.,8395,todo
101,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie lange dauerte der Hundertjährige Krieg tatsächlich?,Der Krieg begann im 14. Jahrhundert und endete im 15. Jahrhundert,Länger als der Achtzigjährige Krieg zwischen Niederlanden und Spanien mit rund 80 Jahren,116,todo
102,B) Mensch & Kultur,Geschichte & Zeitspannen,In welchem Jahr wurde das allererste iPhone von Steve Jobs auf einer bekannten Technologiekonferenz vorgestellt?,Als das iPhone vorgestellt wurde war der erste Macintosh schon über zwei Jahrzehnte alt,Zum Präsentationszeitpunkt dominierten Nokia und Blackberry den Smartphonemarkt; Android Geräte gab es noch nicht,2007,todo
103,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie lange war Queen Elizabeth II. genau Staatsoberhaupt?,Während ihrer Regierungszeit dienten ihr 15 britische Premierminister – von Winston Churchill bis Liz Truss,Ihre Amtszeit umspannte 14 US-Präsidenten; ein US-Präsident kann höchstens acht Jahre im Amt sein,70 Jahre und 214 Tage,todo
104,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele Jahre liegen zwischen der Errichtung der Cheops-Pyramide und der Geburt von Kleopatra?,Kleopatra lebte zeitlich näher bei uns heute als beim Bau der Cheops-Pyramide,Von der Cheops-Pyramide bis zur Gründung Roms vergingen über 1500 Jahre,2470,todo
105,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie lange dauerte der Britisch-Sansibarische Krieg?,Länger als eine typische Sitcomfolge – deutlich kürzer als ein kompletter Spielfilm,Vom ersten Schuss bis zur Kapitulation verging weniger als eine Stunde,38,todo
106,B) Mensch & Kultur,Geschichte & Zeitspannen,An welchem Datum fiel die Berliner Mauer?,Die Berliner Mauer stand knapp drei Jahrzehnte; gebaut wurde sie Anfang der 1960er Jahre,Kennedys Ich bin ein Berliner Rede an der Mauer war 1963 in West-Berlin,09.11.1989,todo
107,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele verschiedene Personen hatten bis 2024 das Amt des Präsidenten der USA inne?,Seit 1789 gibt es das Präsidentenamt – über 230 Jahre amerikanische Geschichte,Würde jeder nur eine vierjährige Amtszeit dienen gäbe es heute etwa 60 Präsidenten,46,todo
108,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie lange lebte der älteste Mensch der Welt (Jeanne Calment) in Tagen?,Sie wurde über 120 Jahre alt,Die Anzahl der Tage liegt zwischen 40.000 und 50.000,44.724,todo
109,B) Mensch & Kultur,Geschichte & Zeitspannen,In welchem Jahr fand die erste Reise von Christoph Kolumbus in die Neue Welt statt?,Die Reise begann kurz nach der Eroberung Granadas - dem Ende der Reconquista,Sie fand fast ein halbes Jahrtausend vor der ersten Mondlandung 1969 statt,1492,todo
110,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie lange existierte die DDR?,Die DDR bestand länger als die Weimarer Republik; aber kürzer als das Deutsche Kaiserreich,Sie wurde 1949 gegründet; mit der deutschen Wiedervereinigung 1990 hörte die DDR auf zu existieren,12.921,todo
111,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Abgeordnete sitzen im 20. Deutschen Bundestag?,Im Bundestag gibt es 299 Wahlkreise; ihre Direktgewinner kommen zusätzlich über Listenmandate hinein.,Das US-Repräsentantenhaus hat 435 stimmberechtigte Mitglieder; der 20. Bundestag ist deutlich größer.,736,todo
112,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie alt war im Durchschnitt eine Person in Deutschland am 31.12.2022?,Weltweit lag das Durchschnittsalter 2022 nur bei rund 30 Jahren.,Rund 22 Prozent der Deutschen sind 65plus; weltweit sind es nur etwa 10 Prozent.,44.6,todo
113,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Bundesgesetze waren in Deutschland am 1.1.2023 in Kraft?,Auf Bundesebene gibt es insgesamt über 4000 Gesetze plus Verordnungen – mit rund 93000 Einzelnormen,Bundesrechtliche Verordnungen sind deutlich zahlreicher als Gesetze – allein über 2700 Verordnungen gelten,1.961,todo
114,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Staaten sind Mitglied der Vereinten Nationen?,Die UNO startete 1945 nur mit 51 Mitgliedern; seither kamen viele neue Staaten dazu,Es gibt weniger UNO Mitglieder als Fußball Nationalteams bei FIFA; aber mehr als Eurovision Länder,193,todo
115,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie lange dauert die Amtszeit eines US-Senators?,Abgeordnete im Repräsentantenhaus werden für 2 Jahre gewählt; Senatoren deutlich länger,In anderen Ländern dauern Oberhaus Amtszeiten oft 4 oder sogar 9 Jahre,6,todo
116,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie hoch war die Wahlbeteiligung bei der Bundestagswahl 2021?,Bundestagswahlen ziehen deutlich mehr Menschen an als Europawahlen in Deutschland; dort oft unter 50 Prozent,Europawahl 2014; in Deutschland gingen nur rund 48 Prozent wählen; Bundestagswahl 2021 lag höher,76.6,todo
117,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Einwohner hatte die kleinste Gemeinde Deutschlands Ende 2022?,Deutschlands kleinste Stadt Arnis hat 254 Einwohner; die kleinste Gemeinde liegt deutlich darunter.,Ihre Bevölkerungsdichte liegt unter 6 Einwohnern je Quadratkilometer; in München fast 4900.,9,todo
118,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Ehen wurden 2022 in Deutschland aufgelöst?,Im Rekordjahr 2003 wurden gut 214000 Ehen geschieden; seitdem nimmt die Zahl ab,2022 heirateten in Deutschland rund 390000 Paare; deutlich weniger Ehen wurden geschieden,143.800,todo
119,B) Mensch & Kultur,Politik Gesellschaft & Recht,In welchem Jahr wurde das Frauenwahlrecht in der Schweiz auf Bundesebene eingeführt?,Es war im 20. Jahrhundert; erstaunlich spät im Vergleich zu vielen anderen Ländern,Es war in den 1970er Jahren,1971,todo
120,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Sterne sind auf der Europaflagge abgebildet?,Die Sternenzahl hat nichts mit EU-Staatenzahl zu tun; aktuell sind es 27 Staaten,US-Flagge zeigt 50 Sterne; China-Flagge 5 Sterne; Europaflagge liegt dazwischen,12,todo
121,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Stichwörter sind im Duden in der 28. Auflage enthalten?,Der Urduden von 1880 enthielt nur rund 27000 Stichwörter; die 28. Auflage ein Vielfaches,Ein umfassendes amerikanisches Wörterbuch von Merriam Webster erfasst etwa 470000 Stichwörter; deutlich mehr,148.000,todo
122,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele lebende Sprachen werden weltweit verzeichnet?,In Afrika werden rund 2000 Sprachen gesprochen – etwa ein Drittel aller lebenden,Papua-Neuguinea allein hat etwa 840 Sprachen – fast zwölf Prozent aller Weltsprachen,7151,todo
123,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Buchstaben hat das längste Wort im Duden?,Unter die fünf längsten Dudenwörter kommt man erst mit deutlich mehr als 30 Buchstaben,Im Dudenkorpus gibt es Wörter mit 67 Buchstaben; das Duden Rekordwort ist spürbar kürzer,44,todo
124,B) Mensch & Kultur,Sprache & Redewendungen,Welcher Anteil des englischen Wortschatzes stammt laut Finkenstaedt & Wolff aus dem Germanischen?,Über 90 der 100 häufigsten englischen Wörter sind germanisch – hier geht es ums Wörterbuch,In der Studie machen Latein und Französisch zusammen mehr als die Hälfte des Wortschatzes aus,26,todo
125,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Schriftzeichen gehören zu den allgemein gebräuchlichen Schriftzeichen in China?,Es gibt über 80.000 chinesische Schriftzeichen – die meisten sind heute sehr selten,Die offizielle Normliste für Alltagstexte in China umfasst rund 7.000 Schriftzeichen,3.500,todo
126,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Wörter spricht eine Frau durchschnittlich pro Tag laut einer Studie?,Die Studie zeigt Frauen reden nicht viel mehr als Männer – eher ähnlich viel,Bei 100 Wörtern pro Minute ergäben acht Stunden Dauerreden fast 50.000 Wörter,16.000,todo
127,B) Mensch & Kultur,Sprache & Redewendungen,Wie oft kommt der Buchstabe E in deutschen Texten vor?,Deutsch hat im Vergleich zu vielen Sprachen einen außergewöhnlich hohen Anteil an E,In englischen Texten ist E etwa jeder zehnte Buchstabe; im Deutschen deutlich häufiger,17,todo
128,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele offizielle Sprachen hat die Europäische Union?,Die Vereinten Nationen arbeiten mit 6 Amtssprachen – die EU mit deutlich mehr.,Südafrika hat 11 Amtssprachen; die EU anerkennt noch einmal deutlich mehr Sprachen.,24,todo
129,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Verse hat Goethes Faust Der Tragödie erster Teil?,Dantes Goettliche Komoedie umfasst 14233 Verse; deutlich mehr als Goethes kompletter Faust,Beide Teile von Goethes Faust zusammen haben rund 12000 Verse,4612,todo
130,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Menschen sprechen Mandarin als Muttersprache?,Die Weltbevölkerung liegt bei rund 8 Milliarden; Mandarins Anteil ist deutlich spürbar,Spanisch und Englisch haben jeweils deutlich unter 500 Millionen Muttersprachler; Mandarin liegt darüber,920,todo
131,B) Mensch & Kultur,Bräuche & Feiertage,Wie viel Bier wurde auf dem Oktoberfest 2023 ausgeschenkt?,Trotz Besucherrekord 2023 trank der durchschnittliche Gast weniger als ein Maß Bier,Im Rekordjahr 2011 wurden fast acht Millionen Maß ausgeschenkt; 2023 lag deutlich darunter,5.8 Millionen,todo
132,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele Kalorien hat eine typische Portion eines traditionellen Festtagsessens mit Fleisch und Beilagen?,Erwachsene benötigen am Tag grob 1600 bis 3000 Kalorien laut Ernährungsempfehlungen.,Ein einziges Stück Pumpkin Pie zum Nachtisch liefert oft rund 300 bis 350 Kalorien.,1200,todo
133,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele Schnittblumen importiert Deutschland im Februar?,Deutschland importiert jährlich rund vier bis fünf Milliarden Schnittblumen; Februar gehört zu den Spitzenmonaten,Über den Flughafen Frankfurt kommen vor Valentinstag in zwei Wochen 15 bis 20 Millionen Rosen,100,todo
134,B) Mensch & Kultur,Bräuche & Feiertage,Nach wie vielen Ehejahren feiert man die Gnadenhochzeit?,Bekannter ist die Goldene Hochzeit nach 50 Jahren; Gnadenhochzeit kommt noch deutlich später.,Himmelshochzeit bezeichnet 100 Ehejahre; Gnadenhochzeit wird deutlich vor diesem Jahrhundertjubiläum gefeiert.,70,todo
135,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele gesetzliche Feiertage gibt es in einer Stadt in Deutschland - die besonders viele hat?,Weltweit schwankt die Zahl der Feiertage stark; von nur 6 bis über 40 pro Jahr.,Das Feiertags-Spitzenreiter-Bundesland Bayern gönnt sich 13 gesetzliche Feiertage im Jahr.,9,todo
136,B) Mensch & Kultur,Bräuche & Feiertage,Wie hoch war der Umsatz mit Silvesterfeuerwerk in Deutschland 2022/23?,Die deutsche Pyrotechnikbranche setzte 2010 rund 900 Millionen Euro um; Silvester war Nebengeschäft.,In den Pandemie-Jahren 2020 und 2021 brachte Silvesterfeuerwerk jeweils nur rund 20 Millionen Umsatz.,113,todo
137,B) Mensch & Kultur,Bräuche & Feiertage,Wie schwer war der größte Schokoladenhase der Welt - der 2017 in Brasilien hergestellt wurde?,Der Schokohase war etwa so hoch wie ein kleines Einfamilienhaus,Der vorherige Rekordhase aus Südafrika wog rund 3 Tonnen; der Brasilien-Hase war deutlich schwerer,4487,todo
138,B) Mensch & Kultur,Bräuche & Feiertage,An welchem Tag im April wird ein bedeutender Tag für die deutsche Bierkultur gefeiert?,Er erinnert an den Erlass des Reinheitsgebots im Jahr 1516; Datum ist identisch,Er liegt im letzten Drittel des April; deutlich näher am 30. als am 1,23.,todo
139,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele Menschen wurden beim Kölner Rosenmontagszug 2023 von der Polizei geschätzt?,Der Zug schlängelt sich über gut 8 Kilometer durch die Stadt; rund 12000 ziehen mit,Beim Oktoberfest besuchen insgesamt über 6 Millionen Menschen die Wiesn; an Spitzentagen bis 400000,1.200.000,todo
140,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele Eier konsumiert eine Person durchschnittlich in Deutschland im Jahr 2022?,Weltweit liegt der Schnitt bei rund 160 Eiern pro Person und Jahr; Deutschland darüber,In Eier-Hochburgen wie Mexiko oder Japan sind über 330 Eier pro Kopf und Jahr üblich,239,todo
141,B) Mensch & Kultur,Kunst & Architektur,Wie lange dauerte es von der Grundsteinlegung bis zur Vollendung des Kölner Doms?,Notre-Dame in Paris wurde in etwa 180 Jahren gebaut; Köln brauchte deutlich länger,Beim Kölner Dom gab es eine Baupause von über 300 Jahren; Vollendung im 19. Jahrhundert,632,todo
142,B) Mensch & Kultur,Kunst & Architektur,Für wie viel Geld wurde Salvator Mundi 2017 versteigert?,Vor 2017 galten Gemäldepreise um 250 bis 300 Millionen als absolute Rekordmarke.,Ein Klimt-Porträt brachte 236 Millionen und ist trotzdem nur Nummer zwei hinter Salvator Mundi.,450.3,todo
143,B) Mensch & Kultur,Kunst & Architektur,Wie viele Menschen besuchten das bekannteste Museum in Paris im Jahr 2023?,Der Louvre war einst für rund vier Millionen Besucher pro Jahr ausgelegt – heute überfüllt,Das British Museum schaffte 2023 gut fünf Millionen Besucher – der Louvre lag klar darüber,8 Millionen,todo
144,B) Mensch & Kultur,Kunst & Architektur,Wie hoch ist die Freiheitsstatue vom Boden bis zur Fackelspitze?,Die Christusstatue in Rio ohne Sockel misst etwa 30 Meter; die Freiheitsstatue ist höher.,Der Eiffelturm ist 330 Meter hoch; die Freiheitsstatue erreicht nur einen Bruchteil dieser Höhe.,93,todo
145,B) Mensch & Kultur,Kunst & Architektur,Wie viele Teile hat das größte kommerziell erhältliche Puzzle von Kodak?,Ein typisches Erwachsenenpuzzle hat 1000 Teile; das Kodak-Puzzle ist um ein Vielfaches größer.,Das größte Ravensburger-Puzzle hatte etwa 32000 Teile; Kodak legte später noch einmal deutlich drauf.,51300,todo
146,B) Mensch & Kultur,Kunst & Architektur,Wie lange wurde an Schloss Neuschwanstein gebaut bis zum Baustopp?,Zum Vergleich; der Kölner Dom brauchte über 600 Jahre bis zur Fertigstellung,Herrenchiemsee entstand in etwa 7 Jahren; Neuschwanstein blieb als Baustelle deutlich länger,17,todo
147,B) Mensch & Kultur,Kunst & Architektur,Wie breit ist das Gemälde Mona Lisa ohne Rahmen?,Viele Besucher sind überrascht wie klein das Bild wirkt – eher Laptop als Fernseher,Ein DIN A4 Blatt ist 21 cm breit; die Mona Lisa ist deutlich breiter,53,todo
148,B) Mensch & Kultur,Kunst & Architektur,Aus wie vielen Einzelteilen besteht der Eiffelturm?,Die Eisenkonstruktion wiegt etwa 7.300 Tonnen; verteilt auf viele schlanke Träger,Verbunden durch rund 2.5 Millionen Nieten – die Metallteile sind deutlich weniger zahlreich,18.038,todo
149,B) Mensch & Kultur,Kunst & Architektur,Wie viele Räume hat der Buckingham Palace offiziell?,Das Weiße Haus hat 132 Räume; Buckingham Palace ist als Königssitz deutlich größer.,Im Palast gibt es 19 Staatsräume und 188 Personal-Schlafzimmer; dazu viele Büros und Bäder.,775,todo
150,B) Mensch & Kultur,Kunst & Architektur,Wie schwer ist die Statue David von Michelangelo?,Die Statue ist über fünf Meter hoch und komplett aus massivem Carrara-Marmor gearbeitet,Sie ist schwerer als ein Pkw mit etwa 1500 Kilo aber leichter als ein Reisebus,5572,todo
151,B) Mensch & Kultur,Musik & Popkultur,Wie viele Tonträger haben die Beatles laut EMI-Schätzung weltweit verkauft?,Schon 1978 waren laut Guinness rund 100 Millionen Singles und 100 Millionen Alben verkauft,Heutige konservative Schätzungen sehen die Beatles bei mindestens 600 Millionen verkauften Tonträgern weltweit,1,todo
152,B) Mensch & Kultur,Musik & Popkultur,Wie lange dauert die Album-Version von Autobahn von Kraftwerk?,Typische Popsongs dauern etwa drei bis vier Minuten – Autobahn ist deutlich ausufernder,Der Titel füllt auf der Original-LP alleine die komplette A-Seite,22,todo
153,B) Mensch & Kultur,Musik & Popkultur,Wie viele Tasten hat ein moderner Standard-Konzertflügel?,Seit dem 19 Jahrhundert haben große Klaviere fast alle dieselbe Standardzahl an Tasten,Viele Heim-Keyboards haben 61 Tasten; ein Konzertflügel bietet deutlich mehr Tonumfang,88,todo
154,B) Mensch & Kultur,Musik & Popkultur,Für wie viel Geld wurde die Akustikgitarre von Kurt Cobain 2020 versteigert?,Beim Verkauf brach die Gitarre mehrere Weltrekorde für Gitarrenauktionen; deutlich oberhalb üblicher Spitzenpreise,Vorheriger Rekord für eine Gitarre: David Gilmours Black Strat mit rund 4 Millionen Dollar,6,todo
155,B) Mensch & Kultur,Musik & Popkultur,Wie viele Auszeichnungen hat Beyoncé bis 2024 bei den Grammy Awards insgesamt gewonnen?,Taylor Swift hat 14 Grammys; Aretha Franklin 18; Beyoncé übertrifft jede von beiden klar,U2 als erfolgreichste Band hat 22 Grammys; Beyoncé als Einzelkünstlerin liegt darüber,32,todo
156,B) Mensch & Kultur,Musik & Popkultur,Wie viele Menschen besuchten das Rod Stewart Konzert an der Copacabana im Jahr 1994?,Anfang der 1990er hatte die Stadt Rio etwa fünfeinhalb Millionen Einwohner,Die Rolling Stones zogen 2006 am gleichen Strand etwa anderthalb Millionen Menschen an,3.500.000,todo
157,B) Mensch & Kultur,Musik & Popkultur,Wie oft wurde Last Christmas auf Spotify gestreamt (Stand Dezember 2023)?,Die meistgestreamten Spotify Songs überhaupt liegen inzwischen bei über 5 Milliarden Gesamtstreams,Mariah Careys All I Want For Christmas hatte Ende 2023 rund 1.8 Milliarden Spotify Streams,1.2,todo
158,B) Mensch & Kultur,Musik & Popkultur,Wie viele Musiker sind laut Tarifvertrag in einem großen Kulturorchester mindestens vorgesehen?,Kammerorchester spielen oft mit 15 bis 30 Musikerinnen; Spitzenorchester wie Leipzig haben etwa 185 Planstellen.,Im TVK beginnt ein kleines C-Orchester schon bei 56 Planstellen; A-Orchester erreichen etwa 130.,90,todo
159,B) Mensch & Kultur,Musik & Popkultur,An welchem Tag im August 1977 starb Elvis Presley?,Sein letztes Konzert spielte Elvis Ende Juni 1977 in Indianapolis – er blieb in Memphis.,Zwischen dem letzten Konzert am 26. Juni und seinem Tod lagen sieben Wochen.,16.,todo
160,B) Mensch & Kultur,Musik & Popkultur,Wie viele Saiten hat eine moderne Konzertharfe?,Gitarre 6 Saiten; Violine 4; eine Konzertharfe hat ein Vielfaches dieser Saitenzahl,Keltische Folkharfen kommen meist mit 20 bis 30 Saiten aus; Konzertharfen deutlich darüber,47,todo
161,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele Episoden der Simpsons wurden bis Ende der 35. Staffel ausgestrahlt?,Bereits 1998 in Staffel 9 erreichte die Serie ihre 200. Folge,Die 500. Folge lief 2012 in Staffel 23 – deutlich vor den neuesten Staffeln,750,todo
162,B) Mensch & Kultur,Film & Serien & Streaming,Wie hoch waren die geschätzten Produktionskosten des Films Avatar: The Way of Water?,Cameron sagte; der Film müsse dritt- oder vierterfolgreichster Film werden um sein Budget zu decken,James Camerons Titanic kostete etwa 200 Millionen Dollar – Way of Water war deutlich teurer,350 Millionen,todo
163,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele Oscars erhielt der Film Titanic bei der Verleihung im Jahr 1998?,Forrest Gump gewann 6 Oscars; Titanic räumte bei der Verleihung 1998 deutlich mehr ab.,Titanic gehört zu nur drei Filmen die sich den Rekord an Oscars teilen.,11,todo
164,B) Mensch & Kultur,Film & Serien & Streaming,Wie lange dauert die Special Extended Edition von Die Rückkehr des Königs auf Blu-ray?,Laufzeit in etwa zwei normale Blockbuster hintereinander; ein Hobbit-Film plus ein Marvel-Film,Alle drei Extended Editions zusammen dauern ungefähr zwölf Stunden; dieser Teil ist der längste,263,todo
165,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele zahlende Abonnenten hatte Netflix weltweit im Q4 2023?,2017 hatte Netflix weltweit rund 100 Millionen zahlende Abonnenten; seither wuchs die Zahl kontinuierlich weiter,Disney+ kam Ende 2023 weltweit auf etwa 150 Millionen Abos; Netflix lag deutlich darüber,247,todo
166,B) Mensch & Kultur,Film & Serien & Streaming,Wie oft ist der Schauspieler Sean Bean in Filmen bis 2020 gestorben?,Trotz Meme-Ruf überlebt er in den meisten Rollen; seine Sterberate liegt unter fünfzig Prozent,John Hurt stirbt über vierzig Mal auf Leinwand; Sean Bean landet klar dahinter,23,todo
167,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele James-Bond-Filme wurden von Eon Productions bis zum Film No Time to Die produziert?,Zwischen erstem Bondfilm 1962 und No Time to Die liegen fast sechs Jahrzehnte,Mehr Eon-Bondfilme als Star-Wars-Kinofilme; deutlich weniger als die 37 MCU-Filme,25,todo
168,B) Mensch & Kultur,Film & Serien & Streaming,Wie hoch ist das weltweite Einspielergebnis des erfolgreichsten Films aller Zeiten?,Viele aktuelle Blockbuster landen weltweit zwischen 500 Millionen und einer Milliarde Dollar Einspielergebnis,E.T. war früher Nummer eins mit etwa 800 Millionen Dollar weltweit – heute viel höher,2.923,todo
169,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele Staffeln von Grey's Anatomy wurden bis 2024 produziert?,Grey's Anatomy startete 2005 und sendet 2024 immer noch neue Folgen,Friends endete nach 10 Staffeln; Grey's Anatomy läuft als Drama deutlich länger,20,todo
170,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele Wörter spricht Arnold Schwarzenegger im ersten Terminator-Film?,In der Fortsetzung spricht Arnie rund 700 Wörter – im ersten Teil deutlich weniger.,Im ersten Film hat der Terminator nur 17 gesprochene Sätze – meist sehr kurz.,58,todo
171,B) Mensch & Kultur,Gaming & Internetkultur,In welchem Jahr erschien die erste Alpha-Version des beliebten Sandbox-Spiels Minecraft?,Die erste Alpha erschien im Zeitalter von Facebook und YouTube nicht mehr zur Diskettenära,Die Alpha kam gut drei Jahrzehnte nach den ersten Atari Heimkonsolen der Siebziger,2009,todo
172,B) Mensch & Kultur,Gaming & Internetkultur,Wie lautet der Speedrun-Weltrekord für Super Mario Bros. (Any%) im Jahr 2023?,Normale Spieler brauchen etwa zwei Stunden für Super Mario Bros.; Speedrunner nur wenige Minuten,Warpless-Weltrekord 2023 mit allen Levels unter neunzehn Minuten; Any% mit Warps deutlich kürzer,454,todo
173,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele Pokémon gibt es insgesamt nach der neuesten Erweiterung im Jahr 2024?,Die erste Generation umfasste 151 Pokémon – damals schien das schon sehr viel,Pro Generation kamen im Schnitt grob um die 100 neuen Pokémon dazu – neun Generationen existieren,1010,todo
174,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele monatlich aktive Nutzer hatte Facebook im 4. Quartal 2023?,Ende 2009 nutzten etwa 360 Millionen Menschen Facebook monatlich; seither hat sich die Zahl vervielfacht,Im Dezember 2023 waren täglich rund zwei Milliarden Menschen als aktive Nutzer bei Facebook eingeloggt,2998,todo
175,B) Mensch & Kultur,Gaming & Internetkultur,Für wie viel wurde der Club Neverdie im Spiel Entropia Universe 2010 verkauft?,Neverdie kaufte denselben Asteroiden 2005 selbst für 100000 Dollar im Spiel,2009 wurde die Crystal Palace Raumstation für 330000 Dollar verkauft; Club Neverdie galt wertvoller,635000,todo
176,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele E-Mails wurden 2023 weltweit pro Tag verschickt?,Über 4 Milliarden Menschen weltweit nutzen E Mail; viele beruflich und privat,WhatsApp verarbeitet täglich etwa 140 Milliarden Nachrichten; E Mails liegen deutlich darüber,347,todo
177,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele Aktionen pro Minute führte der StarCraft 2 Pro-Gamer Losira durchschnittlich in Turnieren aus?,Freizeitspieler bleiben meist unter 50 APM; Losira gehört zur absoluten Profi-Elite.,Losira liegt klar über typischen Profiwerten um 250 APM; Rekorde kratzen an 800.,400,todo
178,B) Mensch & Kultur,Gaming & Internetkultur,Wie groß ist die Spielwelt von GTA V (Landmasse + Wasser)?,Manhattan hat etwa 59 km² Landfläche; die GTA V Spielwelt ist deutlich größer.,Elden Ring bietet 79 km²; AC Black Flag 168; GTA V ähnliche Größenordnung.,127,todo
179,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele Suchanfragen verarbeitet Google durchschnittlich pro Sekunde (Stand 2023)?,1999 waren es nur etwa 3 Millionen Google Suchanfragen pro Tag weltweit,Frühere Schätzungen nannten grob 40.000 Google Suchanfragen pro Sekunde im weltweiten Durchschnitt,99.000,todo
