id,kategorie,subkategorie,frage,tipp1,tipp2,loesung,status
105,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele Minuten dauerte der Britisch-Sansibarische Krieg (kürzester Krieg der Geschichte)?,Der Krieg war kürzer als eine Halbzeit bei einem Fußballspiel.,Vom ersten Schuss bis zur Kapitulation verging weniger als eine Stunde.,38,todo
106,B) Mensch & Kultur,Geschichte & Zeitspannen,An welchem Tag (TT.MM.JJJJ) fiel die Berliner Mauer?,Die Mauer stand insgesamt ca. 28 Jahre lang.,Der Mauerfall ereignete sich exakt 11 Monate nach dem Jahreswechsel 1988/89.,09.11.1989,todo
107,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele verschiedene Personen waren bis 2024 Präsident der USA?,Der erste Präsident war George Washington (ab 1789).,Grover Cleveland wird doppelt gezählt; da er zwei getrennte Amtszeiten hatte.,45,todo
108,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele Tage lebte die Französin Jeanne Calment (ältester Mensch der Welt)?,Sie erreichte ein Alter von insgesamt 122 Jahren und 164 Tagen.,Ein durchschnittliches Jahr hat 365.25 Tage.,44724,todo
109,B) Mensch & Kultur,Geschichte & Zeitspannen,In welchem Jahr entdeckte Kolumbus Amerika (erste Reise)?,Im selben Jahr endete die Reconquista in Spanien (Eroberung von Granada).,Die Reise fand ca. 500 Jahre vor dem Ende des Kalten Krieges statt.,1492,todo
110,B) Mensch & Kultur,Geschichte & Zeitspannen,Wie viele Tage existierte die DDR offiziell?,Die DDR wurde am 7. Oktober 1949 gegründet.,Sie bestand insgesamt etwas weniger als 41 Jahre lang.,12921,todo
111,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Abgeordnete sitzen aktuell im 20. Deutschen Bundestag?,Der US-Kongress (Repräsentantenhaus) hat insgesamt 435 Mitglieder.,Es gibt insgesamt 299 Wahlkreise in Deutschland.,736,todo
112,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie hoch war das Durchschnittsalter der Bevölkerung in Deutschland Ende 2022?,Das weltweite Durchschnittsalter liegt bei ca. 30 Jahren.,In Japan (Platz 1 weltweit) liegt das Durchschnittsalter bei ca. 49 Jahren.,44.6,todo
113,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Bundesgesetze (nicht Einzelnormen) gab es in Deutschland Anfang 2023?,Es gibt insgesamt ca. 2.700 zusätzliche Rechtsverordnungen auf Bundesebene.,Die Anzahl der Einzelnormen (Paragrafen) liegt bei ca. 50.000.,1961,todo
114,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele ständige Mitglieder hat der UN-Sicherheitsrat?,Deutschland ist kein ständiges Mitglied in diesem Gremium.,Es sind genau so viele Länder; wie die EU Gründungsmitglieder hatte (minus 1).,5,todo
115,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Jahre dauert die Amtszeit eines US-Senators?,Eine Legislaturperiode im Bundestag dauert 4 Jahre.,Ein US-Präsident kann maximal für 8 Jahre (2 Amtszeiten) amtieren.,6,todo
116,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie hoch war die Wahlbeteiligung (in Prozent) bei der Bundestagswahl 2021?,Bei der Europawahl 2019 lag die Beteiligung in Deutschland bei ca. 61 Prozent.,Bei der Bundestagswahl 2017 lag die Beteiligung bei ca. 76 Prozent.,76.6,todo
117,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Einwohner hatte die kleinste Gemeinde Deutschlands (Dierfeld) Ende 2022?,Die kleinste Stadt Deutschlands (Arnis) hat ca. 250 Einwohner.,In einer Fußballmannschaft stehen 11 Spieler auf dem Platz.,9,todo
118,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele Ehen wurden im Jahr 2022 in Deutschland geschieden?,Im Jahr 2022 wurden ca. 390.000 Ehen neu geschlossen.,Im Jahr 2003 (Rekordjahr) wurden über 214.000 Ehen geschieden.,137400,todo
119,B) Mensch & Kultur,Politik Gesellschaft & Recht,In welchem Jahr wurde das Frauenwahlrecht in der Schweiz (auf Bundesebene) eingeführt?,In Deutschland wurde das Frauenwahlrecht bereits 1918 eingeführt.,In den USA wurde das Frauenwahlrecht 1920 landesweit eingeführt.,1971,todo
120,B) Mensch & Kultur,Politik Gesellschaft & Recht,Wie viele goldene Sterne sind auf der offiziellen Flagge der Europäischen Union?,Die Flagge wurde bereits 1955 vom Europarat entworfen.,Die Anzahl der Sterne entspricht der Anzahl der Stunden auf einem Zifferblatt.,12,todo
121,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Stichwörter enthält der Duden aktuell (28. Auflage)?,Der erste Duden von 1880 enthielt nur ca. 27.000 Stichwörter.,Ein umfassendes Englisch-Wörterbuch (Oxford) enthält ca. 600.000 Begriffe.,148000,todo
122,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele lebende Sprachen werden aktuell weltweit gesprochen?,In Europa werden nur ca. 300 einheimische Sprachen gesprochen.,Allein in Papua-Neuguinea werden über 800 verschiedene Sprachen gesprochen.,7151,todo
123,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Buchstaben hat das längste Wort im Duden?,Das Wort 'Donaudampfschifffahrt' hat 26 Buchstaben.,Wörter mit über 60 Buchstaben sind nur in Fach-Texten (nicht im Duden) zu finden.,44,todo
124,B) Mensch & Kultur,Sprache & Redewendungen,Welcher Anteil (Prozent) des englischen Wortschatzes ist germanischen Ursprungs?,Lateinische und französische Wörter machen über 50 Prozent des Englischen aus.,Die häufigsten 100 englischen Wörter sind fast alle germanischen Ursprungs.,26,todo
125,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Schriftzeichen gehören in China zu den allgemein gebräuchlichen Zeichen?,Ein gut gebildeter Chinese kennt im Schnitt ca. 8.000 Zeichen.,Insgesamt gibt es über 80.000 verschiedene chinesische Schriftzeichen.,3500,todo
126,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Wörter spricht eine Frau durchschnittlich pro Tag?,Eine Studie zeigt; dass Männer fast genau so viele Wörter sprechen.,Bei 100 Wörtern pro Minute würde man ca. 2.5 Stunden ohne Pause reden.,16000,todo
127,B) Mensch & Kultur,Sprache & Redewendungen,Welcher Anteil (Prozent) aller Buchstaben in deutschen Texten entfällt auf das 'E'?,Der Buchstabe 'Q' kommt in deutschen Texten fast gar nicht vor (ca. 0.02 Prozent).,In englischen Texten ist das 'E' mit ca. 12 Prozent ebenfalls am häufigsten.,17,todo
128,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele offizielle Amtssprachen gibt es in der Europäischen Union (EU)?,Die Vereinten Nationen (UN) haben insgesamt 6 offizielle Amtssprachen.,Die NATO nutzt insgesamt nur 2 offizielle Amtssprachen (Englisch und Französisch).,24,todo
129,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Verse hat Goethes Faust (Der Tragödie erster Teil)?,Dantes 'Göttliche Komödie' umfasst insgesamt ca. 14.200 Verse.,Beide Teile von Goethes Faust zusammen haben ca. 12.000 Verse.,4612,todo
130,B) Mensch & Kultur,Sprache & Redewendungen,Wie viele Menschen sprechen Mandarin (Chinesisch) als Muttersprache?,Englisch hat ca. 380 Millionen Muttersprachler.,Spanisch hat ca. 485 Millionen Muttersprachler.,920 Millionen,todo
131,B) Mensch & Kultur,Bräuche & Feiertage,Wie viel Bier wurde auf dem Oktoberfest 2023 ausgeschenkt?,Im Rekordjahr 2011 waren es insgesamt ca. 7.5 Millionen Maß.,Der durchschnittliche Besucher trinkt weniger als eine Maß Bier.,6.5 Mio. Maß,todo
132,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele Kalorien hat eine typische Portion Festtagsbraten mit Beilagen?,Ein Big Mac hat ca. 500 Kalorien.,Ein Erwachsener benötigt ca. 2.000 bis 2.500 Kalorien pro Tag.,1200,todo
133,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele Schnittblumen importiert Deutschland im Monat Februar?,Jedes Jahr werden ca. 1.000 Millionen Rosen nach Deutschland importiert.,Ein Deutscher gibt im Schnitt ca. 100 Euro pro Jahr für Schnittblumen aus.,100 Millionen,todo
134,B) Mensch & Kultur,Bräuche & Feiertage,Nach wie vielen Ehejahren feiert man die sogenannte Gnadenhochzeit?,Die Goldene Hochzeit wird nach 50 Jahren gefeiert.,Die Diamantene Hochzeit wird nach 60 Jahren gefeiert.,70,todo
135,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele gesetzliche Feiertage hat die Stadt Augsburg (Spitzenreiter in DE)?,Berlin und Hamburg haben jeweils nur 10 gesetzliche Feiertage.,Das Bundesland Bayern hat insgesamt 13 gesetzliche Feiertage.,14,todo
136,B) Mensch & Kultur,Bräuche & Feiertage,Wie viel wurde 2022/23 in Deutschland für Silvesterfeuerwerk ausgegeben?,In den Corona-Jahren (mit Verkaufsverbot) waren es nur ca. 20 Mio. Euro.,Im Jahr 2019 wurden ca. 122 Mio. Euro für Feuerwerk ausgegeben.,180 Mio. Euro,todo
137,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele Kilogramm wog der größte Schokoladenhase der Welt (Rekord 2017)?,Ein normales Auto wiegt ca. 1.500 Kilogramm.,Das schwerste bisher gemessene Osterei wog ca. 7.200 Kilogramm.,4245,todo
138,B) Mensch & Kultur,Bräuche & Feiertage,An welchem Tag im April wird der 'Tag des Deutschen Bieres' gefeiert?,Das Reinheitsgebot wurde im Jahr 1516 erlassen.,Der Tag liegt genau eine Woche vor der Walpurgisnacht (30. April).,23,todo
139,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele Menschen besuchten laut Schätzung den Kölner Rosenmontagszug 2023?,In Köln leben insgesamt ca. 1.1 Millionen Menschen.,Das Oktoberfest in München besuchen jährlich ca. 6 Millionen Menschen.,1.5 Millionen,todo
140,B) Mensch & Kultur,Bräuche & Feiertage,Wie viele Eier isst ein Deutscher durchschnittlich pro Jahr (Stand 2022)?,In Mexiko (Weltmeister) werden ca. 380 Eier pro Kopf gegessen.,In der EU liegt der Durchschnitt bei ca. 210 Eiern pro Kopf.,239,todo
141,B) Mensch & Kultur,Kunst & Architektur,Wie viele Jahre vergingen von der Grundsteinlegung bis zur Vollendung des Kölner Doms?,Die Kathedrale Notre-Dame in Paris wurde in ca. 180 Jahren erbaut.,Es gab eine zwischenzeitliche Baupause von über 300 Jahren.,632,todo
142,B) Mensch & Kultur,Kunst & Architektur,Welchen Preis erzielte das Gemälde 'Salvator Mundi' (Da Vinci) bei der Auktion 2017?,Ein echtes Werk von Klimt brachte ca. 236 Millionen USD ein.,Vor dem Verkauf lag der Weltrekord bei ca. 300 Millionen USD.,450.3 Mio. USD,todo
143,B) Mensch & Kultur,Kunst & Architektur,Wie viele Menschen besuchten den Louvre in Paris im Jahr 2023?,Das British Museum in London besuchten ca. 5.8 Millionen Menschen.,Im Jahr 2019 (vor Corona) hatte der Louvre ca. 9.6 Millionen Besucher.,8.9 Millionen,todo
144,B) Mensch & Kultur,Kunst & Architektur,Wie viele Meter hoch ist die Freiheitsstatue (vom Boden bis zur Fackel)?,Die Christusstatue in Rio de Janeiro ist ca. 30 Meter hoch.,Der Eiffelturm in Paris ist ca. 330 Meter hoch.,93,todo
145,B) Mensch & Kultur,Kunst & Architektur,Wie viele Teile hat das größte kommerziell erhältliche Puzzle der Welt (Kodak)?,Ein typisches Standard-Puzzle für Erwachsene hat 1.000 Teile.,Das größte Ravensburger-Puzzle hat ca. 40.000 Teile.,51300,todo
146,B) Mensch & Kultur,Kunst & Architektur,Wie viele Jahre wurde an Schloss Neuschwanstein gebaut (bis zum Baustopp 1886)?,Die Bauzeit des Brandenburger Tors betrug ca. 3 Jahre.,Das Schloss Herrenchiemsee wurde in nur ca. 7 Jahren erbaut.,17,todo
147,B) Mensch & Kultur,Kunst & Architektur,Wie viele Zentimeter ist das Gemälde Mona Lisa (ohne Rahmen) breit?,Ein DIN-A4-Blatt ist ca. 21 cm breit.,Ein typischer 24-Zoll-Monitor ist ca. 53 cm breit.,53,todo
148,B) Mensch & Kultur,Kunst & Architektur,Aus wie vielen einzelnen Eisen-Bauteilen besteht der Eiffelturm?,Die Konstruktion wird von ca. 2.5 Millionen Nieten zusammengehalten.,Das Gesamtgewicht des Eisens beträgt ca. 7.300 Tonnen.,18038,todo
149,B) Mensch & Kultur,Kunst & Architektur,Wie viele Räume hat the Buckingham Palace in London offiziell?,Das Weiße Haus in Washington hat insgesamt 132 Räume.,Der Palast beherbergt unter anderem 188 Schlafzimmer für das Personal.,775,todo
150,B) Mensch & Kultur,Kunst & Architektur,Wie viele Kilogramm wiegt die berühmte David-Statue von Michelangelo?,Die Statue ist insgesamt ca. 5.17 Meter hoch.,Marmor hat eine Dichte von ca. 2.700 Kilogramm pro Kubikmeter.,5572,todo
151,B) Mensch & Kultur,Musik & Popkultur,Wie viele Tonträger haben die Beatles laut Schätzungen weltweit verkauft?,Schon im Jahr 1978 waren ca. 200 Millionen Singles und Alben verkauft.,Ein Megastar wie Michael Jackson kommt auf schätzungsweise 400 bis 500 Millionen.,1 Milliarde,todo
152,B) Mensch & Kultur,Musik & Popkultur,Wie viele Minuten dauert die Original-Album-Version von 'Autobahn' (Kraftwerk)?,Ein typischer Radio-Song dauert ca. 3 bis 4 Minuten.,Der Song füllt auf der Schallplatte fast eine komplette Seite (A-Seite).,22,todo
153,B) Mensch & Kultur,Musik & Popkultur,Wie viele Tasten hat ein moderner Standard-Konzertflügel?,Seit dem 19. Jahrhundert ist diese Anzahl bei fast allen Herstellern Standard.,Ein klassisches Orchester-Cello hat nur 4 Saiten.,88,todo
154,B) Mensch & Kultur,Musik & Popkultur,Welchen Preis erzielte die Gitarre von Kurt Cobain bei der Auktion 2020?,Es war die Akustikgitarre von seinem legendären 'MTV Unplugged'-Auftritt.,Der Preis entspricht in etwa dem eines luxuriösen Penthouses in New York City.,6 Mio. USD,todo
155,B) Mensch & Kultur,Musik & Popkultur,Wie viele Grammys hat Beyoncé bis Anfang 2024 insgesamt gewonnen?,Die Band U2 hat als erfolgreichste Gruppe bisher 22 Grammys gewonnen.,Michael Jackson ('King of Pop') gewann in seiner Karriere insgesamt 13 Grammys.,32,todo
156,B) Mensch & Kultur,Musik & Popkultur,Wie viele Menschen besuchten das Rod-Stewart-Konzert 1994 in Rio?,Es gilt als das größte kostenlose Rockkonzert der Geschichte.,Die Stadt Rio de Janeiro hatte zu dieser Zeit ca. 6 Millionen Einwohner.,3.5 Millionen,todo
157,B) Mensch & Kultur,Musik & Popkultur,Wie viele Streams hat 'Last Christmas' auf Spotify (Stand Ende 2023)?,Mariah Careys 'All I Want For Christmas' liegt in einer ähnlichen Größenordnung.,Der Song erschien ursprünglich im Jahr 1984.,1.2 Milliarden,todo
158,B) Mensch & Kultur,Musik & Popkultur,Wie viele Musiker (Planstellen) hat ein deutsches 'A-Orchester' mindestens?,Ein kleines Kammerorchester hat meist ca. 15 bis 30 Musiker.,Es sind deutlich mehr Musiker als Spieler in einem Fußballkader.,90,todo
159,B) Mensch & Kultur,Musik & Popkultur,An welchem Tag im August 1977 starb Elvis Presley (der 'King of Rock 'n' Roll')?,Sein letztes Konzert gab er ca. sieben Wochen vor seinem Tod.,Sein Todestag liegt im selben Monat wie der Bau-Beginn der Berliner Mauer.,16,todo
160,B) Mensch & Kultur,Musik & Popkultur,Wie viele Saiten hat eine klassische Konzertharfe normalerweise?,Eine normale Gitarre hat 6 Saiten; eine Violine hat 4 Saiten.,Die Anzahl ist geringer als die der Tasten eines Standard-Klaviers (88).,47,todo
161,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele Episoden der 'Simpsons' wurden bis Ende der 35. Staffel ausgestrahlt?,Bereits im Jahr 1998 erreichte die Serie ihre 200. Folge.,Die 500. Folge wurde im Jahr 2012 ausgestrahlt.,768,todo
162,B) Mensch & Kultur,Film & Serien & Streaming,Wie hoch waren die Produktionskosten für 'Avatar: The Way of Water'?,James Camerons 'Titanic' kostete im Jahr 1997 ca. 200 Millionen USD.,Der Film musste mindestens 2.000 Millionen USD einspielen; um profitabel zu sein.,350 Mio. USD,todo
163,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele Oscars gewann der Film 'Titanic' bei der Verleihung 1998?,Der Film 'Forrest Gump' gewann insgesamt 6 Oscars.,Der Film 'Ben Hur' hält mit dieser Anzahl ebenfalls den historischen Rekord.,11,todo
164,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele Minuten dauert die 'Special Extended Edition' von 'Die Rückkehr des Königs'?,Alle drei 'Herr der Ringe' Extended-Teile zusammen dauern ca. 12 Stunden.,Die Kinofassung des Films ist ca. 1.5 Stunden kürzer als diese Version.,263,todo
165,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele zahlende Abonnenten hatte Netflix weltweit Ende 2023?,Im Jahr 2017 hatte Netflix ca. 100 Millionen Abonnenten.,Disney+ hatte Ende 2023 ca. 150 Millionen Abonnenten und damit deutlich weniger.,260 Millionen,todo
166,B) Mensch & Kultur,Film & Serien & Streaming,Wie oft starb der Schauspieler Sean Bean in seinen Filmrollen bis zum Jahr 2020?,Trotz seines Rufes überlebt er in den meisten seiner Rollen.,Der Rekordhalter John Hurt starb über 40-mal auf der Leinwand.,23,todo
167,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele James-Bond-Filme wurden bis 'Keine Zeit zu sterben' offiziell produziert?,Zwischen dem ersten Bond (1962) und dem 25. Teil liegen fast 60 Jahre.,Es gibt insgesamt 9 'Star Wars' Hauptfilme; Bond hat fast dreimal so viele.,25,todo
168,B) Mensch & Kultur,Film & Serien & Streaming,Wie viel spielte der erfolgreichste Film aller Zeiten (Avatar) bisher ein?,'Avengers: Endgame' liegt bei ca. 2.8 Milliarden USD und damit nur knapp dahinter.,Der Film 'E.T.' war früher mit ca. 0.8 Milliarden USD der Rekordhalter.,2.923 Milliarden USD,todo
169,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele Staffeln der Serie 'Grey's Anatomy' wurden bis 2024 produziert?,Die Serie 'Friends' endete nach insgesamt 10 Staffeln.,Die Krankenhaus-Serie 'Emergency Room' brachte es auf insgesamt 15 Staffeln.,20,todo
170,B) Mensch & Kultur,Film & Serien & Streaming,Wie viele Wörter spricht Arnold Schwarzenegger im ersten 'Terminator'-Film?,Im zweiten Teil ('Tag der Abrechnung') spricht er ca. 700 Wörter.,Im ersten Film hat der Terminator insgesamt nur 17 kurze Sätze.,58,todo
171,B) Mensch & Kultur,Gaming & Internetkultur,In welchem Jahr erschien die erste öffentliche Alpha-Version von 'Minecraft'?,Das Spiel wurde vom schwedischen Programmierer Markus 'Notch' Persson entwickelt.,Im selben Jahr (2009) wurde die Kryptowährung Bitcoin gestartet.,2009,todo
172,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele Sekunden beträgt der Weltrekord für 'Super Mario Bros.' (Any% Speedrun," Stand 2023)?",Ein normaler Spieler braucht ca. 2 Stunden für das Spiel.,Der Weltrekord für das Spiel 'Super Mario World' (SNES) liegt bei nur ca. 45 Sekunden.,294,todo
173,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele Pokémon gibt es insgesamt (nach der neuesten Erweiterung 2024)?,In der ersten Generation (Rot/Blau) gab es insgesamt 151 Pokémon.,Es gibt mittlerweile neun Generationen von Pokémon-Spielen.,1025,todo
174,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele monatlich aktive Nutzer hatte Facebook Ende 2023?,Das entspricht ca. 38 Prozent der gesamten Weltbevölkerung.,Die Plattform Instagram hat ca. 2.000 Millionen monatlich aktive Nutzer.,3.065 Millionen,todo
175,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele USD wurde für den 'Club Neverdie' im Spiel 'Entropia Universe' bezahlt (2010)?,Der Käufer refinanzierte den Betrag durch den Verkauf virtueller Gegenstände.,Ein früherer Rekord-Verkauf im selben Spiel lag bei ca. 330.000 USD.,635000,todo
176,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele E-Mails wurden im Jahr 2023 weltweit pro Tag verschickt?,Über 4 Milliarden Menschen weltweit besitzen ein E-Mail-Konto.,Täglich werden ca. 140 Milliarden Nachrichten über WhatsApp verschickt.,347 Milliarden,todo
177,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele Aktionen pro Minute (APM) führte der Pro-Gamer 'Losira' durchschnittlich aus?,Ein geübter PC-Nutzer schafft ca. 50 Aktionen pro Minute.,Die Weltspitze in StarCraft 2 erreicht Werte von weit über 300 APM.,400,todo
178,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele Quadratkilometer umfasst die Spielwelt von 'GTA V' (Land + Wasser)?,Die Insel Manhattan ist ca. 59 Quadratkilometer groß.,Das Spiel 'Elden Ring' hat eine Landmasse von ca. 80 Quadratkilometern.,127,todo
179,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele Suchanfragen verarbeitet Google durchschnittlich pro Sekunde (Stand 2023)?,Im Jahr 1999 waren es nur ca. 3 Millionen Anfragen pro Tag.,Im Jahr 2010 wurden weltweit ca. 40.000 Google-Suchen pro Sekunde verarbeitet.,99.000,todo
180,B) Mensch & Kultur,Gaming & Internetkultur,Wie viele Kilobyte (KB) groß ist die Datei des originalen 'Super Mario Bros.' (NES)?,Ein heute übliches Smartphone-Foto ist ca. 3.000 KB groß.,Das Spiel 'The Legend of Zelda' (NES) ist ca. 128 KB groß.,40,todo
181,B) Mensch & Kultur,Sport-Rekorde & Titel,In welcher Zeit (Sekunden) lief Usain Bolt den 100-Meter-Weltrekord (2009)?,Gut trainierte Freizeitsprinter brauchen für 100 Meter meist ca. 13 bis 14 Sekunden.,Bolt erreichte auf dieser Strecke eine Höchstgeschwindigkeit von ca. 44 km/h.,9.58,todo
182,B) Mensch & Kultur,Sport-Rekorde & Titel,Wie viele Tore hat Pelé in seiner Karriere in offiziellen Spielen erzielt?,Inklusive inoffizieller Spiele werden Pelé oft über 1.200 Tore zugeschrieben.,Für Brasiliens Nationalmannschaft erzielte Pelé insgesamt 77 Tore.,767,todo
183,B) Mensch & Kultur,Sport-Rekorde & Titel,Wie viele Meter beträgt der Weltrekord im Stabhochsprung der Männer (Duplantis 2024)?,Der Hochsprung-Weltrekord (ohne Stab) liegt bei ca. 2.45 Metern.,Ein moderner Linienbus ist ca. 3.0 Meter hoch.,6.26,todo
184,B) Mensch & Kultur,Sport-Rekorde & Titel,Wie viele Stunden dauerte das längste Tennismatch der Geschichte (Isner vs. Mahut 2010)?,Ein normales Grand-Slam-Match der Herren dauert ca. 3 Stunden.,Das Match wurde über drei Tage hinweg ausgetragen.,11,todo
185,B) Mensch & Kultur,Sport-Rekorde & Titel,Wie viele Medaillen hat Michael Phelps bei Olympischen Spielen insgesamt gewonnen?,Viele Legenden wie Carl Lewis haben insgesamt ca. 10 Medaillen gewonnen.,Allein bei den Spielen in Peking 2008 gewann er 8 Goldmedaillen.,28,todo
186,B) Mensch & Kultur,Sport-Rekorde & Titel,Wie viele Kilogramm wiegt ein Formel-1-Auto (Mindestgewicht inkl. Fahrer) im Jahr 2024?,Ein normaler Kompaktwagen (z. B. VW Golf) wiegt ca. 1.300 Kilogramm.,Im Jahr 2008 lag das Mindestgewicht noch bei ca. 585 Kilogramm.,798,todo
187,B) Mensch & Kultur,Sport-Rekorde & Titel,Wie viele Zuschauer fasst das 'Stadion Erster Mai' in Pjöngjang aktuell?,Das Wembley-Stadion in London fasst ca. 90.000 Zuschauer.,Das 'Camp Nou' in Barcelona (größtes Stadion Europas) fasst ca. 99.000 Zuschauer.,114.000,todo
188,B) Mensch & Kultur,Sport-Rekorde & Titel,Wie viele km/h erreichte der schnellste Tennis-Aufschlag (Sam Groth 2012)?,Ein normaler Erstaufschlag bei den Profis liegt bei ca. 190 bis 210 km/h.,Der schnellste Baseball-Wurf liegt bei ca. 170 km/h.,263,todo
189,B) Mensch & Kultur,Sport-Rekorde & Titel,Wie viele Kalorien verbraucht ein Tour-de-France-Fahrer im Schnitt an einem Renntag?,Ein normal aktiver Erwachsener benötigt ca. 2.000 bis 2.500 Kalorien pro Tag.,Ein Marathonlauf verbrennt ca. 3.000 Kalorien.,8000,todo
190,B) Mensch & Kultur,Sport-Rekorde & Titel,Wie oft gewann die deutsche Männer-Nationalmannschaft bisher die Weltmeisterschaft?,Deutschland stand bereits insgesamt 8-mal in einem WM-Finale.,Nur Brasilien hat mit 5 Titeln bisher mehr Weltmeisterschaften gewonnen.,4,todo
191,B) Mensch & Kultur,Essen & Trinken,Wie viele Kalorien hat ein Big Mac in Deutschland?,Ein Cheeseburger hat ca. 300 Kalorien.,Ein typischer Döner Kebab hat ca. 700 bis 900 Kalorien.,503,todo
192,B) Mensch & Kultur,Essen & Trinken,Wie viele Scoville-Einheiten hat die schärfste Chili der Welt (Pepper X)?,Die bekannte Tabasco-Sauce hat ca. 2.500 bis 5.000 Scoville.,Die Sorte 'Carolina Reaper' (ehemals Platz 1) hat ca. 1.6 Millionen Scoville.,2.693 Mio.,todo
193,B) Mensch & Kultur,Essen & Trinken,Wie viele Kilogramm Fleisch verzehrte ein Deutscher im Jahr 2023 durchschnittlich?,Im Jahr 2011 lag der Konsum noch bei ca. 63 Kilogramm pro Kopf.,Der weltweite Durchschnitt liegt bei ca. 28 Kilogramm pro Kopf.,51.6,todo
194,B) Mensch & Kultur,Essen & Trinken,Wie viele Monate muss ein Parmigiano Reggiano (Parmesan) mindestens reifen?,Normaler Gouda reift oft nur ca. 4 bis 8 Wochen lang.,Auf vielen Packungen im Laden steht eine Reifezeit von 24 oder 36 Monaten.,12,todo
195,B) Mensch & Kultur,Essen & Trinken,Wie viele Bläschen entstehen laut Studie (2023) in einem Glas Champagner?,In einem typischen Glas Bier (0.5l) stecken ca. 2 Millionen Bläschen.,Kohlensäurehaltiges Mineralwasser sprudelt meist deutlich stärker als Champagner.,1 Million,todo
196,B) Mensch & Kultur,Essen & Trinken,Wie viele Milligramm Koffein enthält eine Standard-Dose Red Bull (250 ml)?,Eine Tasse Kaffee (150 ml) enthält ca. 80 bis 100 mg Koffein.,Eine 330-ml-Dose Cola enthält ca. 30 mg Koffein.,80,todo
197,B) Mensch & Kultur,Essen & Trinken,Wie viele verschiedene Apfelsorten gibt es weltweit schätzungsweise?,In einem gut sortierten Supermarkt findet man ca. 10 bis 20 Sorten.,Allein in Deutschland gibt es über 2.000 verschiedene Sorten.,7500,todo
198,B) Mensch & Kultur,Essen & Trinken,Wie viele Gramm Zucker sind in einem Liter Coca-Cola (Classic) enthalten?,Eine 100g-Tafel Vollmilchschokolade enthält ca. 55 Gramm Zucker.,Die WHO empfiehlt eine maximale Tagesdosis von ca. 50 Gramm Zucker.,106,todo
199,B) Mensch & Kultur,Essen & Trinken,Wie viele Euro kostet der teuerste Burger der Welt ('The Golden Boy')?,Der Burger wird mit Blattgold; Kaviar und Trüffeln belegt.,Eine Portion Beluga-Kaviar (50g) kostet im Handel oft über 200 Euro.,5000,todo
200,B) Mensch & Kultur,Essen & Trinken,Wie viele Jahre ist Honig bei richtiger Lagerung theoretisch mindestens haltbar?,In ägyptischen Gräbern wurde Honig gefunden; der noch genießbar war.,Honig hat einen extrem niedrigen Wassergehalt und wirkt antibakteriell.,3000,todo
201,C) Technik & Zahlenwelt,Physik im Alltag,Wie viele km/h beträgt die Schallgeschwindigkeit in trockener Luft (bei 20 °C)?,Passagierflugzeuge fliegen mit ca. 800 bis 900 km/h.,In Wasser ist der Schall ca. viermal schneller als in der Luft.,1235,todo
202,C) Technik & Zahlenwelt,Physik im Alltag,Wie viele Watt beträgt die durchschnittliche Leistungsaufnahme des menschlichen Gehirns?,Eine klassische Glühbirne benötigt ca. 60 Watt.,Der gesamte Körper eines ruhenden Erwachsenen setzt ca. 100 Watt um.,20,todo
